id,status_group
56645,functional
44248,non functional
330,functional
23819,non functional
61389,non functional
51169,non functional
18941,non functional
1693,functional
343,non functional
5323,functional
33681,functional needs repair
15487,functional
25603,non functional
35915,functional
8006,non functional
66434,functional
47844,functional
55375,non functional
9206,functional
53256,non functional
2858,functional
38920,functional
8533,non functional
31107,non functional
64971,functional
30593,functional
1226,functional
48032,non functional
2973,functional
53337,functional
4429,functional
61296,non functional
67963,functional
33293,non functional
19712,functional
25553,functional
69486,functional
4188,functional
11254,non functional
23124,functional
9201,functional
14773,non functional
9644,functional
54756,functional
60504,non functional
24367,functional
69384,non functional
659,non functional
54349,functional
11256,non functional
17993,non functional
4176,functional
17623,functional
28314,functional needs repair
31687,functional
54461,non functional
37888,functional
68551,non functional
23897,non functional
18120,non functional
29857,functional
30483,non functional
28855,functional
28952,functional
68195,functional
54032,functional
46216,functional
70676,functional
24772,functional needs repair
13756,functional
1800,non functional
28756,non functional
444,functional
51231,non functional
65875,non functional
41936,functional
9671,non functional
35774,non functional
29210,functional
19815,functional needs repair
32164,functional
21585,non functional
15474,non functional
58372,functional
5745,non functional
7746,functional needs repair
34843,functional
56013,non functional
9137,functional
59123,functional
10046,non functional
6710,non functional
11549,non functional
9173,non functional
32296,non functional
57903,functional
44432,non functional
27057,functional
73107,functional
63537,functional needs repair
24180,non functional
61342,functional
28342,non functional
32211,non functional
35605,functional
71934,functional
23198,functional
64217,functional
44100,functional
21277,functional
59602,functional
21602,non functional
63321,non functional
57884,non functional
41761,functional
7338,functional
52783,non functional
2736,non functional
61880,functional
48097,functional
46503,functional
41482,functional
38100,functional
28632,functional
67066,functional
46727,functional
23804,non functional
45917,functional
29604,functional
40633,non functional
6795,functional
57650,non functional
25758,functional
42312,functional
62842,functional
65596,functional
68485,functional
74043,functional
52378,functional
65627,non functional
25962,functional
70794,non functional
67068,functional
28776,non functional
25296,functional
9611,functional
60011,functional
71034,functional
11123,non functional
62097,functional
64960,functional
13768,non functional
9801,functional
69230,functional
33617,functional
55267,functional
36423,functional needs repair
19442,functional
71411,non functional
41607,functional
38990,non functional
23964,functional
37748,non functional
43179,functional
35957,non functional
30855,functional
54177,functional needs repair
48267,functional
55073,functional
22084,non functional
35084,functional
16060,functional
28212,functional
19056,non functional
56924,non functional
37486,non functional
55274,non functional
50091,functional
42477,non functional
15725,non functional
32611,non functional
24758,functional
49973,non functional
55239,non functional
8927,non functional
65589,functional
18038,functional
4651,non functional
38408,non functional
22024,functional
27726,functional
51238,non functional
64236,functional
7476,non functional
16279,functional
16921,non functional
61493,functional
49001,non functional
24330,functional
14937,non functional
44534,functional
14400,non functional
69723,functional
3095,functional
43925,functional
70864,non functional
33252,non functional
12089,functional
28719,non functional
37974,functional
24963,functional
45052,functional
38295,non functional
64367,non functional
23206,functional
26352,functional
948,non functional
37493,non functional
11679,functional
22451,functional
68715,non functional
60948,functional
46962,non functional
30540,non functional
55902,functional
37268,functional
69490,non functional
11540,functional
11230,functional
38453,functional
27086,functional needs repair
15878,functional
10207,non functional
28243,non functional
59306,non functional
28165,functional
72002,non functional
58068,non functional
21302,functional
32784,functional
22021,non functional
63272,non functional
36955,functional
71607,non functional
4886,non functional
66296,non functional
43976,non functional
31835,functional
15755,non functional
21465,functional
48320,functional
68935,functional
9506,non functional
25503,non functional
18188,functional
26252,functional
18284,non functional
72336,non functional
64145,non functional
742,functional needs repair
37053,functional
66834,non functional
41171,functional
64680,functional
47118,non functional
45336,non functional
47172,non functional
35140,non functional
10453,functional
28784,functional
27479,functional
17199,non functional
69096,non functional
33329,functional
50676,functional
4675,functional needs repair
64066,functional
43776,functional
12158,functional
21539,functional
34815,non functional
9036,functional
65159,functional
2922,non functional
3213,functional
63185,functional needs repair
230,functional
19833,non functional
64591,functional
70398,functional
42390,functional needs repair
10156,functional
50094,functional
67452,non functional
3358,non functional
41608,functional
1322,non functional
25218,functional
18478,non functional
5152,non functional
71364,non functional
64613,functional
67435,functional
16360,non functional
2106,non functional
71158,functional
14477,non functional
18843,functional
66729,non functional
10717,functional
65397,non functional
3272,functional needs repair
52823,functional
32238,non functional
5414,functional
70499,non functional
70163,functional
42221,functional
15105,functional
42723,functional
46435,functional
39810,functional
57559,functional needs repair
37860,functional
22718,functional
42737,functional needs repair
69221,non functional
56354,non functional
4644,functional
72456,functional needs repair
5714,functional
62587,functional
36065,functional
34816,non functional
54659,functional
3772,non functional
7439,functional
71989,functional
21861,functional needs repair
70822,non functional
56912,non functional
926,non functional
8548,non functional
7970,non functional
65581,non functional
65734,functional
39138,non functional
21332,functional
58033,non functional
59775,non functional
46833,non functional
65329,functional
38854,functional
66012,functional
9989,non functional
7243,functional
37666,non functional
32676,non functional
31559,functional
48459,non functional
27701,non functional
36715,non functional
72546,non functional
63405,functional
33453,functional
60663,functional
63814,non functional
55451,functional
48910,non functional
26848,functional
32538,non functional
18426,non functional
69783,functional
4704,functional
72117,non functional
71056,functional
18493,functional
17919,non functional
35679,non functional
25760,non functional
69343,functional
11221,functional needs repair
26761,functional
40725,functional needs repair
20978,functional
72576,functional
63995,functional needs repair
68552,functional
65863,functional
57370,functional
44463,functional
20041,non functional
71420,non functional
73465,functional needs repair
11413,functional
6216,functional
53537,functional
64009,non functional
69735,functional
1773,non functional
27530,functional
22782,functional
65801,functional
50275,non functional
39483,non functional
16801,non functional
71788,non functional
35973,non functional
15190,non functional
26100,functional
24506,non functional
3042,non functional
46959,functional
22975,functional
28502,functional
6872,functional
36171,non functional
57953,non functional
64232,non functional
23979,functional
30826,functional
10167,functional
27407,non functional
3549,non functional
14430,non functional
9839,functional
36782,functional
6325,functional
71589,functional
55307,non functional
57735,functional
16998,non functional
29950,non functional
9627,functional
10334,functional
48443,functional
61137,functional
43808,non functional
26726,functional
53012,functional
27921,non functional
53705,functional
7775,functional
8799,non functional
4277,functional
58469,non functional
67994,functional needs repair
2221,functional needs repair
68462,functional
46972,non functional
44674,non functional
64012,non functional
51110,functional
43004,non functional
43847,non functional
34684,functional
6858,functional needs repair
66196,non functional
48456,non functional
59643,non functional
12414,functional
24092,functional
38775,functional
62613,functional
66168,functional needs repair
50779,non functional
17835,functional
29114,functional needs repair
33485,functional
62254,functional
1502,non functional
42223,functional
25282,functional
12466,non functional
61439,functional needs repair
4155,non functional
64157,functional
30661,functional
16648,functional
29111,functional needs repair
10213,functional
20036,non functional
72609,functional
30368,non functional
17305,non functional
59461,non functional
12915,non functional
20706,functional
53212,functional needs repair
74235,functional
34025,non functional
57431,functional
56981,functional
42343,functional
30314,functional needs repair
2396,functional
47620,functional
39110,functional
56058,non functional
52539,non functional
64357,functional
29621,functional needs repair
25148,functional
71116,non functional
66126,functional needs repair
41956,non functional
24852,non functional
14110,functional
3165,non functional
50459,non functional
37910,functional
67152,functional
59456,functional
33129,non functional
56327,functional
42425,functional
33348,functional needs repair
42693,functional
32531,functional needs repair
62738,non functional
40779,non functional
3485,non functional
21199,functional
17991,functional
33943,functional
7354,functional
26869,non functional
19088,functional
17664,non functional
56793,functional
57802,functional
52525,non functional
22612,non functional
51893,non functional
51343,functional
16600,functional
69092,functional
16383,functional
12296,functional
61872,functional
48513,functional
32606,functional needs repair
26593,non functional
72657,functional
56692,functional
41769,functional
68681,functional
747,functional
72731,non functional
19914,functional
31677,functional
26363,functional
23496,functional
14516,functional
16128,non functional
67680,non functional
8597,functional
67439,non functional
51836,non functional
27780,non functional
43471,non functional
26611,functional
68055,functional needs repair
3394,functional
34606,functional
55103,non functional
32396,non functional
15306,functional
41348,non functional
4116,functional
29993,non functional
1594,functional
29240,functional
66994,functional
8040,non functional
5422,non functional
29160,functional
50699,non functional
60765,functional
53918,functional
33420,functional
18230,functional needs repair
7361,functional
988,non functional
33191,functional
13311,non functional
51089,non functional
46496,functional
16259,functional needs repair
46332,functional needs repair
43755,functional needs repair
59008,functional
40386,non functional
70911,functional
40934,functional
61896,non functional
52951,functional
29658,functional
3099,functional
22743,non functional
69752,functional
54008,functional
16321,non functional
11251,non functional
51022,functional
23089,functional
62891,non functional
6907,functional
65208,functional
72614,functional
67599,non functional
11362,non functional
6026,functional
71386,functional
41306,functional
18954,non functional
33999,functional needs repair
43380,non functional
67528,non functional
39219,functional
56673,functional
24938,non functional
1220,functional
42955,functional
50998,functional
46984,functional
47830,functional
69356,non functional
3032,functional
64206,functional
48743,functional
57456,non functional
48003,functional
55445,functional needs repair
58368,non functional
64256,non functional
10857,non functional
46957,non functional
16999,functional
63381,functional
61546,functional needs repair
44412,non functional
62024,non functional
70049,functional
18690,functional
8688,functional
72300,functional needs repair
72564,non functional
5626,functional
8080,functional
70707,non functional
38049,non functional
22022,functional
5117,non functional
50362,non functional
47359,functional
23449,functional
17761,functional
48929,non functional
55763,functional needs repair
31461,non functional
45544,non functional
45053,functional
20688,non functional
20668,functional
41367,non functional
28748,functional
62773,functional
35833,functional
42769,functional
37238,functional
29116,non functional
56260,functional
48411,functional
17420,functional
7479,non functional
4949,non functional
2850,functional
6629,functional
59480,non functional
39674,non functional
3317,non functional
30240,non functional
26082,non functional
6384,functional
45245,non functional
13793,functional
67973,functional
23572,functional
36680,non functional
16620,non functional
43185,functional
9228,functional
69473,non functional
1808,functional needs repair
69296,functional
14265,functional
3794,functional
56569,non functional
28416,functional
73703,functional
55020,non functional
60448,functional
61604,functional
6419,non functional
1192,functional
59319,non functional
3688,functional
8538,functional
2234,functional
25164,functional
10587,functional
24838,functional
33390,non functional
13405,non functional
60722,non functional
60492,functional
63233,functional
40566,functional
26291,non functional
31646,non functional
6898,non functional
18334,non functional
20740,non functional
1074,non functional
10747,functional needs repair
57622,functional needs repair
16163,functional
40602,functional needs repair
28500,non functional
47169,functional
26915,functional
60282,non functional
66306,functional
10665,non functional
24400,functional
38702,functional
29005,functional
20151,functional needs repair
10473,non functional
30286,functional
24579,non functional
24518,functional
47560,non functional
461,non functional
53572,non functional
48034,functional
40851,functional
9068,functional
63972,functional
42834,non functional
65413,functional
73716,non functional
51784,functional
17225,functional
64084,non functional
54830,functional
20609,non functional
40260,functional
22996,functional
35045,functional
30478,non functional
64507,functional
41713,functional
51700,non functional
55376,non functional
8851,non functional
13104,functional
3587,non functional
44406,non functional
6054,functional
19295,functional needs repair
58065,non functional
39112,functional
65509,non functional
16638,functional
41139,non functional
62029,functional
34077,non functional
31654,non functional
12082,non functional
48357,functional
1510,functional
15547,non functional
42607,functional
25421,functional
3535,functional needs repair
67385,functional
59593,functional
6350,non functional
41928,functional
29512,functional
55167,functional
18528,functional
15318,non functional
65528,non functional
64137,non functional
8840,functional
53528,functional
73839,functional
13796,functional
21896,functional
12370,non functional
58822,non functional
12320,non functional
52779,functional
50357,non functional
51928,functional
68326,functional
45503,functional
23195,non functional
64659,non functional
13124,non functional
67544,functional
57790,non functional
69315,non functional
28937,functional
27515,non functional
45834,functional
57762,functional
66093,functional
4353,functional
1169,non functional
25913,functional
67107,non functional
11513,functional
5523,non functional
37328,non functional
63108,non functional
65802,non functional
56948,non functional
62276,non functional
13327,non functional
54826,functional needs repair
61573,non functional
6131,functional
18128,non functional
8328,functional
5824,functional
6976,non functional
71,non functional
54434,functional
63018,functional
40585,functional
29796,non functional
33268,non functional
58909,functional needs repair
59960,non functional
5199,non functional
49362,functional
43082,non functional
27432,functional
15993,functional
39102,non functional
41046,functional
11271,functional
26954,functional
1200,functional
27835,functional
59314,functional needs repair
14449,functional
59613,functional
45817,functional
4062,functional
45704,functional
57390,non functional
63721,functional needs repair
30374,functional
24351,functional
23822,functional
37199,non functional
59247,non functional
2133,non functional
45884,non functional
68649,non functional
46907,functional
12474,functional
69555,functional
67038,non functional
69458,functional
30616,functional
39480,non functional
59904,functional
3749,functional
62387,functional
10143,functional
47123,non functional
20304,functional
11121,functional
44377,functional
50014,non functional
51023,functional
52427,non functional
68652,non functional
15862,non functional
23435,functional
62135,non functional
71033,non functional
4018,functional
37016,non functional
37072,functional
2900,non functional
5460,non functional
11774,functional
68448,functional
46579,non functional
14082,non functional
70598,functional
1728,functional
54364,functional
44687,functional
63336,functional
70681,functional
25179,non functional
23209,functional
69051,functional
20338,functional
39540,non functional
21569,functional
67857,non functional
1115,functional
11630,functional needs repair
24752,functional
50620,functional
39897,functional needs repair
56086,functional
69983,non functional
9763,functional
69001,functional
4252,functional
25698,functional
50751,functional
5365,functional
21063,functional
50737,non functional
26872,non functional
10529,non functional
36614,functional
49241,functional
38916,non functional
51658,non functional
34056,functional
28448,non functional
57517,functional
22445,functional
58284,functional needs repair
3185,functional
48748,non functional
31242,functional
10609,non functional
7255,functional
48903,functional
51448,non functional
53696,functional
1054,non functional
15623,non functional
69663,non functional
42170,non functional
43262,functional
1356,non functional
65323,functional needs repair
71098,functional
28531,non functional
4048,functional
52995,non functional
12721,functional
43201,functional
18885,functional
13847,functional
1731,functional
47605,functional
69073,functional
39831,functional
16618,non functional
13133,functional
19763,non functional
42117,non functional
59231,functional needs repair
72780,functional
55187,functional
45439,non functional
73682,functional
73369,functional needs repair
2873,functional
39566,non functional
20679,non functional
55330,functional
21471,functional needs repair
7579,non functional
69244,functional
36069,non functional
46215,functional
16586,functional
22044,functional
38924,functional
27007,functional
59258,non functional
61767,functional
6088,non functional
23079,functional
72029,non functional
4459,functional
4959,non functional
26640,functional
36286,functional needs repair
44984,non functional
8846,functional
14465,non functional
74189,functional
22092,functional
6903,non functional
60449,functional
19519,functional
49184,functional
57752,functional
4716,non functional
42061,non functional
28007,functional
72686,non functional
49190,non functional
12623,functional
61845,non functional
41176,functional
52358,functional
14984,functional
37696,functional
59350,functional
68624,non functional
5084,non functional
46802,non functional
72858,non functional
30376,functional
13817,functional
40684,non functional
51158,non functional
50675,functional
25474,functional
5081,non functional
44010,non functional
74055,functional needs repair
2122,functional
63932,non functional
48210,functional
401,non functional
14188,functional
41852,functional
66623,non functional
58582,functional
56123,functional
1541,functional
30775,non functional
45712,non functional
22331,non functional
25039,non functional
52410,functional
38086,functional
66419,functional
57746,functional
5369,non functional
73605,functional
8615,non functional
37847,functional
10090,non functional
35782,functional
59097,non functional
41064,functional
772,functional
38737,functional
8031,functional
56669,functional
2717,non functional
10620,non functional
27822,functional
16718,non functional
36369,functional
48839,functional
6221,non functional
43290,functional
65146,non functional
47550,non functional
10957,non functional
24768,functional needs repair
45312,non functional
61426,functional
48522,functional needs repair
18875,non functional
17047,non functional
71102,non functional
63333,functional
29370,functional needs repair
46282,non functional
10383,non functional
28890,non functional
3815,functional
61914,functional
36544,functional
50525,functional
37099,functional
51256,functional
30264,functional
31806,functional
392,non functional
15051,functional
62670,functional
37727,functional
34250,functional
14245,functional
17439,functional
65883,functional
73312,non functional
28725,non functional
47698,functional
55765,functional
51969,functional
9759,functional
72856,non functional
3825,non functional
393,functional
28875,functional
43843,non functional
13152,functional
64404,functional
62727,non functional
1886,functional
58038,functional
49507,functional
19046,functional needs repair
1888,functional
69624,functional
11510,non functional
21560,functional
74205,functional
32432,functional
12410,functional
53962,non functional
16867,functional
66090,functional
44955,non functional
6097,functional needs repair
3500,non functional
54057,functional
61473,functional
21117,functional
61730,functional
58317,functional
70521,non functional
17359,functional
34758,functional
12804,non functional
41468,functional
25689,non functional
70811,non functional
59182,functional
60030,functional
50544,functional
50843,non functional
31214,non functional
1459,non functional
62865,functional
10802,functional
13639,functional
18747,functional
35521,functional
59062,functional
72225,non functional
6945,non functional
50432,functional
9408,functional
10612,non functional
52588,functional
66374,non functional
52877,functional
70261,functional
60246,functional
68927,non functional
18960,non functional
7765,functional
55265,functional
73485,functional needs repair
28123,functional
48159,functional
70012,functional
23585,functional needs repair
11275,functional
9142,functional needs repair
4198,non functional
57305,non functional
22674,functional
23006,functional
30384,functional needs repair
68817,functional
71927,non functional
31509,functional
16564,non functional
35555,functional
50311,functional
42653,non functional
21194,non functional
8168,non functional
12153,functional
42950,functional
53278,functional
21575,non functional
18111,functional
49953,functional
27016,functional
26906,functional
20610,non functional
23493,non functional
49862,non functional
57379,functional
52226,functional
72321,non functional
21524,functional
71084,functional
31253,functional
40201,functional
50977,functional
31286,functional
39462,functional
70132,functional
27939,functional
48770,functional
2410,functional
39939,functional
54614,non functional
40916,functional
9777,functional
2129,functional
35644,functional needs repair
14189,non functional
2600,functional
36321,functional
70164,non functional
8965,functional
60493,non functional
37630,non functional
64435,functional
46405,non functional
53474,functional
41187,non functional
45759,functional
68421,functional needs repair
37142,functional
60773,functional
29905,functional
68542,non functional
67299,non functional
57685,functional
24440,functional
67123,functional
51973,functional
62557,functional
41135,functional
61353,non functional
24751,functional
58881,non functional
71350,non functional
37709,non functional
27349,functional
20441,functional
14330,functional
41915,functional needs repair
33561,non functional
4297,functional
22236,non functional
19409,functional
62947,functional
35993,functional
10037,functional
55810,functional needs repair
30641,functional
11659,functional
61202,functional
54969,functional
48831,non functional
52165,functional
3986,functional
14075,functional
41978,functional needs repair
63474,functional
2618,functional
15200,non functional
22569,functional needs repair
9923,functional
69201,functional
31995,functional
48739,functional
66943,functional
44708,non functional
61436,non functional
61749,functional
52501,non functional
20724,non functional
29544,functional
12731,non functional
46878,functional
16379,functional
9703,non functional
16408,non functional
14061,functional
1124,non functional
45818,non functional
73204,functional
50633,non functional
72241,non functional
62372,functional needs repair
37306,functional
48943,non functional
66060,functional
32976,functional
52734,non functional
4907,functional needs repair
27286,functional
31922,non functional
13042,functional needs repair
12718,non functional
2332,functional
33033,non functional
31471,functional
72511,non functional
46594,functional
68970,non functional
60217,functional
6838,functional
50017,non functional
50709,functional
50802,functional
68876,functional
60810,non functional
18560,non functional
46007,functional
16774,non functional
13867,functional
68328,non functional
23039,functional needs repair
3296,non functional
59606,non functional
64021,functional
36863,functional
17624,functional
32873,non functional
7541,functional
57968,non functional
21825,non functional
64204,non functional
8971,functional
28584,non functional
3324,functional
72118,non functional
15759,functional
18204,functional
2018,functional
25160,functional
72239,functional
41464,non functional
10002,non functional
24302,functional
45389,non functional
25401,functional
48834,functional
10084,functional needs repair
29514,functional needs repair
55565,non functional
34192,functional
7240,functional
36972,functional
44474,non functional
54484,functional
30471,functional
38369,functional
50812,functional
67288,functional
11751,non functional
71945,functional
17113,functional
27523,functional
33052,non functional
24485,non functional
7911,non functional
55057,functional
38780,functional
22306,non functional
63386,functional
23398,functional
52438,functional
33533,functional
29285,functional
62958,functional
69643,non functional
5699,functional
69385,non functional
22988,functional
30957,functional
28357,non functional
43834,non functional
21297,functional
62437,non functional
32845,functional needs repair
13716,non functional
22970,non functional
63859,functional
8470,non functional
60873,functional
13380,functional
41399,non functional
11868,non functional
47379,functional needs repair
55133,functional
33634,functional
25428,functional
69434,non functional
61601,functional
70852,functional needs repair
983,functional
25808,functional
35161,non functional
33125,non functional
61569,functional
24985,functional
52175,non functional
46969,functional
25189,functional
14589,functional
66523,non functional
33009,non functional
54781,functional
32210,non functional
73445,functional
44596,functional
32438,functional
35432,non functional
3044,functional
53151,non functional
20579,functional
22572,functional
43730,non functional
66387,functional needs repair
67446,non functional
38186,non functional
21601,functional
44467,functional
2649,functional
59705,functional
34642,non functional
39853,non functional
23738,non functional
9479,functional
24433,functional needs repair
60776,non functional
66836,functional
23224,non functional
57710,non functional
43377,non functional
68190,non functional
73826,functional needs repair
28258,non functional
72770,functional
46923,non functional
34428,non functional
60912,functional needs repair
5049,functional needs repair
37642,non functional
31445,functional
2485,functional needs repair
9710,functional
66035,non functional
57386,functional needs repair
33744,non functional
4987,functional
53118,functional
48161,functional
68562,functional
19988,non functional
59549,functional
57521,functional
35421,functional
21808,functional needs repair
20413,non functional
56124,functional
30751,functional
5168,functional
14987,functional
46390,functional
64759,non functional
29610,non functional
55834,functional needs repair
38469,functional
15975,non functional
38172,non functional
14911,functional
11610,functional
45447,non functional
71413,functional
37333,functional
21185,functional
33926,functional
25449,functional
37021,functional
54246,non functional
40416,non functional
64258,functional
27418,non functional
35095,functional
28774,functional
52475,functional
34136,functional
6474,functional
40738,non functional
9311,functional
42830,functional needs repair
59176,functional needs repair
34667,functional
38291,functional needs repair
20029,non functional
29491,non functional
26852,functional
48247,functional
18660,functional
72778,functional
28440,functional
72403,functional
59533,functional
63829,functional
28843,functional
56852,functional
17986,functional needs repair
51766,non functional
262,functional
64725,functional needs repair
32309,functional
16275,functional
5462,functional
46719,non functional
55224,functional
15754,functional
48486,non functional
38632,functional
66768,functional
6035,functional
47475,functional
70564,functional
34564,non functional
38163,non functional
50612,non functional
7510,functional
20173,functional
43154,functional needs repair
15137,functional
61743,non functional
73418,functional
10611,functional
21966,functional
37033,functional
2282,non functional
48148,non functional
21554,non functional
65210,functional
41419,non functional
66104,functional
14512,non functional
69007,functional
70624,functional
36600,non functional
66484,non functional
67291,functional
25225,functional
43542,functional
36284,non functional
38390,functional
57669,non functional
2296,functional
56126,functional needs repair
14121,functional
65721,functional
23115,functional
37691,functional
35343,functional
10053,functional
35010,functional
32064,non functional
2620,non functional
70281,non functional
74109,functional needs repair
59089,functional
37083,functional
24239,non functional
10206,functional
32353,functional
57981,functional
30967,functional
60845,functional needs repair
22573,functional
17535,functional needs repair
3470,non functional
31996,functional
64468,non functional
50982,functional
65718,functional
20711,non functional
47638,non functional
71870,non functional
37886,non functional
37022,non functional
38616,functional
69717,non functional
69234,non functional
16014,non functional
68848,functional
31469,functional
3827,functional
2294,functional
13875,non functional
56839,functional
59429,non functional
51048,non functional
50218,functional
68330,functional needs repair
48727,non functional
52648,non functional
43572,functional
31992,functional
4389,functional
5685,functional
47099,functional
5525,functional
14769,functional
73316,non functional
50069,non functional
12914,functional
51889,functional
20670,functional
42360,functional
40825,functional
47946,non functional
18904,functional
28132,functional
26098,non functional
65196,functional
32052,functional needs repair
6248,functional
12763,functional
8616,functional
13599,non functional
10864,functional
52015,functional
34604,functional
60098,functional
52341,functional
42406,functional
31756,non functional
43378,non functional
6954,functional
4556,non functional
40557,functional
35124,functional
38595,functional
11524,functional
60892,functional
5784,non functional
46708,functional
26778,functional
2690,non functional
5341,functional
63141,non functional
65693,functional
54737,functional
56317,functional
59790,functional
44291,functional
28733,non functional
57708,non functional
11472,non functional
64498,non functional
19918,functional
7238,non functional
69887,functional
54121,non functional
31923,functional
66351,functional
20862,functional
70220,functional
44725,functional
52798,functional
18939,functional
20926,non functional
15714,non functional
3181,non functional
52808,non functional
48119,functional
8575,non functional
16644,functional
16326,functional
36177,non functional
60057,functional
35352,non functional
57725,non functional
34308,non functional
69287,functional
21822,non functional
60343,functional
54371,functional
23596,functional
50538,non functional
70840,functional
66769,functional
17577,functional
25348,non functional
49103,functional
5666,non functional
52942,functional
51074,non functional
35157,non functional
61494,non functional
12104,non functional
32343,non functional
31146,functional
48157,functional
11310,functional
4080,functional
19424,non functional
19467,non functional
50763,non functional
32616,non functional
45662,non functional
52479,functional
41903,non functional
94,functional
52827,functional needs repair
55910,non functional
8012,functional
13111,non functional
23377,non functional
72631,functional
60447,functional
28935,non functional
12813,non functional
9654,non functional
38742,non functional
14803,functional
70684,functional needs repair
16942,non functional
48209,non functional
1582,functional
4598,non functional
47421,functional
25370,non functional
9837,functional
11727,functional
19384,non functional
17025,non functional
11196,functional
65227,functional
70472,non functional
31799,functional
63285,functional
42226,functional
50875,non functional
24904,non functional
50841,functional
35788,non functional
43143,functional
48947,functional
64660,non functional
34739,functional
29528,functional
9678,functional
68959,functional
68487,non functional
50839,non functional
58416,non functional
66424,functional
29411,functional
9601,functional
17348,functional needs repair
69060,functional
59200,functional
60560,non functional
18961,non functional
66989,non functional
136,non functional
25178,functional
11639,functional
61412,non functional
23385,functional
1559,functional
44255,non functional
11441,functional
49483,functional
50348,non functional
58360,functional
62256,functional
52285,functional
43184,functional
61070,non functional
52087,functional
63316,functional
19987,functional
17864,functional
60226,functional
67542,functional
19810,functional
16815,functional
38075,non functional
32480,functional
5781,non functional
9926,functional
59376,non functional
64820,functional
65666,non functional
3504,functional
66988,functional needs repair
62034,functional
14964,functional
11697,functional
9290,non functional
48556,functional
51899,functional
50610,functional
7225,non functional
44923,functional
21496,functional
41138,functional
36634,non functional
26854,functional
33923,functional
70426,functional
26357,non functional
60520,non functional
35964,functional
66280,functional
15539,functional
61823,functional
951,functional needs repair
10201,non functional
55437,non functional
1701,functional
44409,functional
52530,non functional
49398,non functional
67982,functional
45756,non functional
4083,functional
71160,non functional
35843,non functional
69730,non functional
24974,non functional
52277,functional needs repair
22984,functional
24278,functional
54971,functional
65327,functional
19565,functional
69305,non functional
7897,non functional
66453,functional
19159,functional
39100,functional
38257,non functional
17674,functional
41616,functional
54215,non functional
2214,non functional
2416,non functional
36082,functional
44808,functional needs repair
57986,non functional
17122,non functional
59563,functional
59471,non functional
64862,functional
47442,non functional
28810,functional
42596,non functional
68054,non functional
69325,non functional
37735,non functional
31527,functional
23723,non functional
21582,functional
50903,functional needs repair
52013,functional
46624,non functional
24711,functional
34132,functional needs repair
38035,functional
72065,functional
17407,functional
14617,functional
46416,functional
18078,functional
42368,non functional
47800,functional
39731,functional
59450,functional
45075,functional
68575,functional
19739,functional needs repair
68110,non functional
36266,functional
1705,functional
18184,functional
20425,functional
56237,functional
49248,functional
59806,non functional
55903,functional
17708,non functional
62389,non functional
71493,functional
585,non functional
64254,non functional
4447,functional
66150,non functional
